2019,2020,2021,2022
464,490,464,464
494,54,26,54
521,464,522,
54,47,54,
489,20,47,
47,521,521,
457,527,527,
493,528,528,
16,489,20,
6,457,14,
2,493,493,
4,16,457,
3,6,16,
5,2,6,
7,4,2,
483,3,4,
473,5,3,
10,7,5,
9,483,7,
11,473,483,
475,10,473,
522,9,9,
41,21,11,
14,12,10,
12,34,534,
480,524,41,
19,533,536,
33,23,12,
21,525,475,
23,476,480,
32,33,19,
26,13,33,
34,27,21,
524,28,23,
525,60,538,
30,,535,
518,,34,
100,,524,
476,,30,
13,,518,
27,,100,
28,,525,
60,,476,
,,13,
,,27,
,,28,
,,60,
