Name,Score,1_Score,1_Halfway Score,1_Driving Accuracy,1_Greens In Regulation,1_Putting Average,1_Stroke Differential,1_Scrambling,1_Birdie/Bogey,1_Consecutive Cuts,1_Time,2_Score,2_Halfway Score,2_Driving Accuracy,2_Greens In Regulation,2_Putting Average,2_Stroke Differential,2_Scrambling,2_Birdie/Bogey,2_Consecutive Cuts,2_Time
Max Homa,0.0,25.0,16.0,66.07,69.44,1.8,-2.3,54.55,1.45,5.0,2.0,14.0,10.0,66.07,66.67,1.688,0.2,58.33,1.64,4.0,3.0
Maverick McNealy,1.0,25.0,11.0,55.36,70.83,1.863,-2.3,76.19,1.5,8.0,2.0,11.0,9.0,75.0,66.67,1.667,0.95,50.0,1.67,7.0,3.0
Mito Pereira,3.0,4.0,5.0,64.29,80.56,1.845,2.16,78.57,2.71,3.0,6.0,2.0,6.0,75.0,77.78,1.661,2.58,75.0,5.0,2.0,8.0
Marc Leishman,4.0,21.0,17.0,71.43,79.17,1.842,-1.3,60.0,1.75,3.0,2.0,14.0,9.0,64.29,66.67,1.771,0.2,66.67,1.63,2.0,3.0
Talor Gooch,4.0,23.0,12.0,62.5,70.83,1.843,-1.8,71.43,1.83,2.0,2.0,12.0,10.0,69.64,63.89,1.674,0.7,69.23,2.11,1.0,3.0
Hideki Matsuyama,6.0,15.0,12.0,44.64,54.17,1.692,-1.44,66.67,1.23,3.0,1.0,18.0,8.0,66.07,72.22,1.788,-0.55,65.0,2.13,2.0,2.0
C.T. Pan,6.0,5.0,11.0,69.64,81.94,1.831,1.31,84.62,2.8,1.0,4.0,7.0,10.0,64.29,72.22,1.731,1.33,50.0,1.38,4.0,13.0
John Augenstein,6.0,7.0,7.0,58.93,75.0,1.815,0.81,61.11,1.88,2.0,4.0,10.0,8.0,53.57,61.11,1.727,1.21,67.86,1.36,1.0,15.0
Scott Stallings,6.0,10.0,5.0,58.93,69.44,1.7,0.66,63.64,1.89,3.0,6.0,13.0,8.0,69.64,76.39,1.745,0.05,41.18,1.7,2.0,9.0
Patrick Rodgers,6.0,10.0,8.0,58.93,72.22,1.769,0.66,55.0,1.6,7.0,6.0,2.0,4.0,66.07,76.39,1.673,2.58,70.59,3.71,6.0,8.0
Si Woo Kim,7.0,15.0,17.0,76.79,66.67,1.646,0.2,66.67,2.44,1.0,2.0,0.0,8.0,60.71,69.44,1.7,2.56,72.73,3.17,2.0,4.0
